x,y,z
-0.064832,0.00532378,0.714057
0.00685362,6.78024e-05,0.709578
-0.0531248,-0.00455972,0.719705
-0.0636171,0.0035773,0.716283
0.00616551,6.45574e-05,0.710768
-0.0342922,-0.00807951,0.721222
-0.0456393,-0.00502883,0.722686
-0.00295544,-0.00242442,0.717265
0.00875723,0.00229465,0.712974
-0.00163059,-0.00192064,0.717522
-0.0141505,-0.00380551,0.722047
-0.040842,-0.00541695,0.726975
-0.0111366,-0.00264666,0.721766
-0.0131611,-0.00400667,0.723515
-0.0422332,-0.00980475,0.733432
0.00846221,0.00150551,0.720692
0.00357784,0.000340038,0.722386
-0.0218309,-0.00413904,0.728808
-0.0259625,-0.00402324,0.729
-0.0106484,-0.0019468,0.726939
-0.0242523,-0.00378184,0.729769
-0.0461084,-0.0065055,0.734554
0.0202876,0.116615,0.649163
0.021193,0.0112543,0.716991
0.00111468,0.00687257,0.726356
0.000217896,0.00707137,0.727133
0.00536337,0.00847002,0.72593
-0.00815182,0.00282185,0.732401
0.00755044,0.00989963,0.726422
0.0132526,0.0135939,0.724123
-0.0366309,0.00245449,0.738651
-0.0241273,0.00176035,0.737784
0.0458435,0.0891668,0.674226
-0.0364022,0.00352317,0.739457
0.0203682,0.0171341,0.724264
-0.0177806,0.00325164,0.737946
0.0207986,0.0163976,0.725853
-0.0474868,0.000121302,0.745054
-0.000883534,-0.00132053,0.740542
0.0175677,0.0132403,0.729515
-0.0380239,8.08927e-05,0.744664
0.0106721,0.0110254,0.732312
-0.000376072,0.000491893,0.740425
-0.0510483,-0.0052206,0.751641
0.00845613,0.00463919,0.739039
0.0251949,0.00635074,0.736499
0.0283271,0.00495084,0.737697
-0.0868799,-0.0125939,0.763687
0.00592741,-0.00124981,0.745093
-0.0340757,-0.00991419,0.756064
-0.0069019,-0.00581614,0.750455
0.00720495,-0.00271047,0.747347
-0.0873124,-0.00103668,0.758916
-0.00041732,-0.00417219,0.749729
0.0126788,-0.00153189,0.74651
0.0172898,-0.000400716,0.745428
0.0655026,0.0426348,0.714201
-0.0423574,-0.0344686,0.66589
-0.0426923,-0.0125031,0.762459
-0.0418967,-0.0116722,0.762267
0.0130581,0.000579561,0.749277
0.0279844,0.00366695,0.746458
0.0103498,0.000424883,0.750754
-0.011952,-0.00471966,0.756896
-0.0338115,-0.0350257,0.669634
-0.0379178,-0.0106497,0.764566
-0.027001,-0.0319785,0.669027
-0.0035116,-0.0249733,0.661579
-0.00454338,-0.0265466,0.663691
-0.0119224,-0.029958,0.668077
-0.0254581,-0.032104,0.671236
-0.0270589,-0.0319321,0.672417
-0.0136517,-0.0293926,0.669821
-0.0126095,-0.00681938,0.76375
-0.00740526,-0.0268043,0.669538
-0.00245789,-0.0241558,0.666935
0.0667701,0.0585207,0.714871
-0.00419859,-0.0244925,0.668289
0.0665527,0.060155,0.715465
0.00342859,-0.0136706,0.66366
-0.00436335,-0.024923,0.672766
-0.034404,-0.009411,0.771261
-0.0148663,-0.0276186,0.676639
0.0654703,0.0605039,0.716992
0.00386801,-0.0139219,0.66594
-0.0203972,-0.028817,0.67985
0.0122395,-0.000465904,0.762282
0.000378593,-0.0222177,0.674203
-0.0170331,-0.0276382,0.679897
0.0033288,-0.00222666,0.764764
0.0672444,0.057728,0.721695
0.0283448,0.00230446,0.75997
-0.0246423,-0.0274155,0.681831
-0.00212465,-0.0223041,0.676455
-0.0234364,-0.0281682,0.68401
-0.0324058,-0.0282781,0.685554
-0.0284855,-0.026923,0.685683
-0.00900085,-0.0255977,0.684326
0.00803038,-0.00212677,0.667198
-0.00865487,-0.0238738,0.685618
-0.0207251,-0.0241793,0.687471
0.00233915,-0.0124922,0.677621
-0.000367175,-0.0180226,0.683461
-0.0233087,-0.0257512,0.694237
0.0050533,-0.00761896,0.678847
-0.0175516,-0.0240339,0.693534
-0.00524391,-0.017364,0.690478
-0.0353557,-0.0228931,0.697916
-0.0365568,-0.0219017,0.699194
0.0117397,0.00153792,0.680105
-0.0353373,-0.0186953,0.70189
0.00287319,-0.0110136,0.693916
-0.0154428,-0.0198026,0.702579
0.0134957,0.00781577,0.681439
0.000510782,-0.0102907,0.696934
-0.00533478,-0.01635,0.70179
0.012595,0.0055846,0.685365
-0.0148655,-0.0183955,0.705516
0.00303626,-0.00480422,0.698537
0.0027235,-0.00696611,0.702937
-0.040998,-0.0131408,0.712462
0.00271096,-0.00596641,0.703957
-0.0179122,-0.0140345,0.713442
0.00328586,-0.00449434,0.706664
-0.0411514,-0.011305,0.716601
-0.0351662,-0.0126261,0.7177
-0.0022209,-0.0234659,0.661207
-0.0278667,-0.0321967,0.67107
0.00247883,-0.00303845,0.709038
0.00244323,-0.00307593,0.709056
-0.0503939,-0.0072968,0.718345
-0.00383914,-0.0251218,0.666743
0.0157205,0.0175465,0.696182
-0.0298931,-0.0290953,0.679523
-0.043966,-0.00569781,0.72236
-0.0483353,-0.0186026,0.679589
-0.0175494,-0.00510349,0.721612
-0.0268379,-0.0274534,0.686969
-0.00355915,-0.00178046,0.718601
-0.0197631,-0.0260827,0.687021
0.00717696,-0.00403974,0.669507
0.00598672,-0.00674702,0.672132
0.000960777,-0.015672,0.679453
-0.0514556,-0.00766126,0.730593
0.0132988,0.00754778,0.713575
-0.0574,-0.00955303,0.684502
-0.00701378,-0.00172859,0.723731
0.00354271,-0.0112468,0.682256
-0.00407661,-0.00239349,0.723985
0.0085895,-0.00782467,0.681215
-0.0064326,-0.00220875,0.725563
-0.0285727,-0.00265371,0.729033
-0.0458918,-0.016835,0.696242
